pitch_deg,fxO,fyO,fzO,txO,tyO,tzO,ftx,fty,ftz,eex,eey,eez
-7.439488356944847780e+00,-6.737605302737375013e-01,5.177162564448469784e-01,-7.631934856480413032e+00,-1.616942681724548858e-01,-8.083937095533431094e-01,-4.527108490489684806e-02,3.992200844062692711e-01,6.521332782100532739e-05,3.144570178327452115e-01,5.689700606446090880e-01,-6.883183250182492853e-06,3.145105825242658915e-01
-7.658474608555526864e+00,-6.575915444640515473e-01,5.272893410129654290e-01,-7.682694722245337893e+00,-1.646330038908670468e-01,-8.070742388436400461e-01,-4.555979297076342277e-02,3.980215066518167366e-01,6.763594513360688808e-05,3.142928080269155600e-01,5.677714842681613749e-01,-3.402892698411522109e-06,3.143433326151525709e-01
-7.869880381141381775e+00,-6.333411062432041660e-01,5.357478667530581884e-01,-7.640948801805281576e+00,-1.676363204030626719e-01,-7.961800239310193872e-01,-4.630406524960950509e-02,3.968626254929626951e-01,6.848378089759894576e-05,3.141448885999292284e-01,5.666126024592944566e-01,-2.164320939632280037e-06,3.141980748341776097e-01
-8.088088594132360143e+00,-6.274823612838243969e-01,5.595503057108462963e-01,-7.767331559213308090e+00,-1.751749189903847037e-01,-8.049641201244812638e-01,-4.801814819935534828e-02,3.956696567676669107e-01,6.805733059844215204e-05,3.139709940891274864e-01,5.654196340499814122e-01,-2.743833661388061281e-06,3.140229541587102879e-01
-8.301046967219706474e+00,-5.951153798366621839e-01,5.681824975283257251e-01,-7.724956907280219554e+00,-1.782280161376585403e-01,-7.908647628036943322e-01,-4.849134688661001918e-02,3.945043343213671116e-01,6.700638917423128161e-05,3.138086137283409016e-01,5.642543116098610589e-01,-3.030043750847606697e-06,3.138615802631477547e-01
-8.517181555453912978e+00,-5.879461890090577070e-01,5.775130385673511446e-01,-7.655641674462613011e+00,-1.811042895002407949e-01,-7.831482188993887927e-01,-4.975813703597279508e-02,3.933221938246204141e-01,6.658843726595617071e-05,3.136380923151385614e-01,5.630721700512056893e-01,-3.597592309723145936e-06,3.136941725703106254e-01
-8.732735095999593966e+00,-5.777913779234904457e-01,5.853980217953752563e-01,-7.692790309142849559e+00,-1.841050184254980071e-01,-7.820423404170143700e-01,-5.054485835707200891e-02,3.921468146208406114e-01,6.555738338302528705e-05,3.134541323192892581e-01,5.618967927925547778e-01,-6.228495291183455186e-06,3.135016453722467844e-01
-8.947433935282468553e+00,-5.635814888983569082e-01,5.765324877443106510e-01,-7.559378302535840533e+00,-1.814365495329733347e-01,-7.670040905430113298e-01,-4.908446942379680183e-02,3.909708469802869457e-01,6.637862236355513519e-05,3.132859138740125560e-01,5.607208203472995312e-01,-5.023121359547840902e-06,3.133487126762484198e-01
-9.162748435664781255e+00,-5.669680702724722021e-01,5.782792870594978263e-01,-7.661926767384873216e+00,-1.819431629876585854e-01,-7.767454198408508814e-01,-4.910672947134384764e-02,3.897991883285110148e-01,6.596260201220610706e-05,3.130938994370082162e-01,5.595491665303224949e-01,-5.582838352635781593e-06,3.131416669421103194e-01
-9.378486577608015295e+00,-5.392919148079852176e-01,5.950788282396497486e-01,-7.634749101475819089e+00,-1.876597636385415602e-01,-7.646912887976021755e-01,-5.066082740274063800e-02,3.886213435667366656e-01,6.769656651649107757e-05,3.129072508573987332e-01,5.583713199336608479e-01,-3.059518497387724001e-06,3.129621781284049331e-01
-9.591977855521431451e+00,-5.376765365567993671e-01,6.051893252193462081e-01,-7.647640389038848241e+00,-1.909230508016882544e-01,-7.652636153413703290e-01,-5.087386227708259878e-02,3.874583630695473402e-01,6.850258507891545355e-05,3.127118344848335285e-01,5.572083392772354538e-01,-1.864261348757693059e-06,3.127677450945551829e-01
